id,country,province,name,postal_code,user_id
1,Bangladesh,,95545 Melby Crossing,9210,126
2,Brazil,,42 Hooker Circle,55515-000,26
3,Philippines,,8 Nobel Parkway,2718,141
4,China,,33200 Fair Oaks Lane,,42
5,Japan,,99906 Memorial Court,811-2405,25
6,Turkmenistan,,96 Stang Crossing,,6
7,United Kingdom,England,41 Shelley Way,LS6,143
8,Ukraine,,7 Riverside Junction,,13
9,France,Franche-Comté,21 Tennessee Crossing,25057 CEDEX,95
10,Indonesia,,840 Maywood Avenue,,128
11,Zimbabwe,,15170 Lake View Lane,,25
12,Indonesia,,888 Heath Avenue,,100
13,Brazil,,23353 Crownhardt Circle,48430-000,59
14,Portugal,Lisboa,8 Beilfuss Pass,2655-425,90
15,Bulgaria,,2 Oxford Avenue,8600,54
16,China,,1570 Vera Drive,,147
17,United States,District of Columbia,9 Hermina Place,20436,31
18,Poland,,2072 Corben Park,97-545,46
19,Indonesia,,92497 Carey Crossing,,60
20,Netherlands,Provincie Overijssel,2 Little Fleur Parkway,8044,24
21,Denmark,Region Hovedstaden,32 Forest Place,1728,119
22,United States,Florida,638 Nelson Park,33710,146
23,China,,7 Clove Terrace,,12
24,Lesotho,,71 Mendota Drive,,12
25,Indonesia,,60 Crest Line Plaza,,88
26,Ukraine,,4375 Stuart Junction,,61
27,Serbia,,5450 Melby Crossing,,16
28,Ukraine,,04197 Express Drive,,79
29,United States,Arizona,531 Ridgeway Place,85062,126
30,Japan,,3 Vernon Junction,719-0302,40
31,Thailand,,624 Buena Vista Junction,64130,127
32,Vietnam,,2 Veith Point,,54
33,Peru,,4 Hanson Trail,,28
34,China,,84860 Vahlen Place,,70
35,China,,02 Bartillon Hill,,32
36,United States,Florida,40 Lerdahl Lane,32128,126
37,Portugal,Braga,9864 Stang Hill,4820-013,106
38,Venezuela,,836 Butterfield Court,,119
39,China,,925 Lakeland Park,,28
40,Poland,,01168 Boyd Road,42-470,77
41,United States,New York,218 Westport Lane,11470,53
42,Indonesia,,72258 International Road,,6
43,Slovenia,,7 Evergreen Point,3304,26
44,Madagascar,,459 Arizona Junction,,53
45,Morocco,,7 Del Sol Terrace,,31
46,South Africa,,4 Merrick Circle,5382,69
47,Portugal,Braga,683 Armistice Avenue,4860-352,62
48,Portugal,Lisboa,0 Montana Lane,2680-333,148
49,Portugal,Viana do Castelo,5437 Burning Wood Hill,4910-035,70
50,Peru,,9 Lighthouse Bay Circle,,30
51,Indonesia,,41731 Nobel Terrace,,28
52,Portugal,Braga,64 Debra Road,4890-341,32
53,Russia,,15066 Eagan Way,601642,68
54,China,,03722 Daystar Pass,,62
55,Japan,,938 Harper Trail,879-2413,61
56,Brazil,,7523 Lotheville Place,86180-000,124
57,Philippines,,72 Algoma Drive,9401,108
58,China,,55783 Ridge Oak Drive,,100
59,China,,29 Tony Way,,32
60,China,,858 Elgar Place,,57
61,Russia,,2328 Hoffman Road,300999,53
62,Botswana,,1 Northwestern Court,,59
63,Philippines,,8719 Dayton Trail,6407,51
64,Brazil,,12745 Annamark Terrace,86800-000,116
65,Czech Republic,,74 Dennis Center,592 55,108
66,Bolivia,,082 Kingsford Point,,86
67,Honduras,,8 Sauthoff Drive,,20
68,Russia,,128 Prentice Junction,601293,87
69,Vietnam,,2447 7th Drive,,68
70,United States,Pennsylvania,160 Little Fleur Pass,15279,79
71,Portugal,Ilha de São Miguel,35056 American Hill,9680-423,130
72,Czech Republic,,79220 Superior Junction,691 63,3
73,Madagascar,,585 Morning Pass,,35
74,France,Languedoc-Roussillon,889 Sage Street,34940 CEDEX 9,8
75,China,,109 Westport Circle,,139
